id|creationDate|locationIP|browserUsed|content|length
824633720934|2012-01-14T23:42:10.801+0000|196.29.42.107|Firefox|yes|3
824633720935|2012-01-14T22:14:09.709+0000|196.29.42.107|Firefox|thanks|6
618475291040|2011-08-18T11:39:06.786+0000|196.29.42.107|Firefox|LOL|3
618475291041|2011-08-18T11:44:56.798+0000|196.29.42.107|Firefox|I see|5
618475291042|2011-08-18T13:58:14.114+0000|196.29.42.107|Firefox|fine|4
618475291043|2011-08-18T13:11:26.224+0000|196.29.42.107|Firefox|right|5
618475291044|2011-08-18T18:10:56.565+0000|196.29.42.107|Firefox|About Pyotr Ilyich Tchaikovsky, ic; this seemed to defeat the potential for About Let L|87
618475291045|2011-08-18T16:33:09.803+0000|196.29.42.107|Firefox|good|4
618475291046|2011-08-18T23:46:06.113+0000|196.29.42.107|Firefox|no|2
618475291047|2011-08-18T18:26:14.895+0000|196.29.42.107|Firefox|About Let Love Lead the Way, Girls, released as a double-A side single wAbout Just a |85
618475291048|2011-08-18T23:30:00.808+0000|196.29.42.107|Firefox|cool|4
618475291049|2011-08-18T18:42:12.124+0000|196.29.42.107|Firefox|About Guinea, rals, including bauxite, diamond, and About Just a Day, f 20|74
618475291050|2011-08-19T02:58:46.825+0000|196.29.42.107|Firefox|good|4
618475291051|2011-08-18T13:01:16.527+0000|196.29.42.107|Firefox|thx|3
618475291052|2011-08-18T11:50:00.682+0000|196.29.42.107|Firefox|About Stephen Harper, the October 2008 fAbout Josip Broz Tito, ctly Titoism), he About|86
618475291053|2011-08-18T18:27:13.196+0000|196.29.42.107|Firefox|good|4
618475291054|2011-08-18T22:48:38.808+0000|196.29.42.107|Firefox|duh|3
618475291055|2011-08-19T01:23:32.064+0000|196.29.42.107|Firefox|About Switched-On Bach, ut orchestra) and Best Engineered Classical RAbout Let Love Lead |89
618475291056|2011-08-18T20:03:48.123+0000|196.29.42.107|Firefox|fine|4
618475291057|2011-08-19T04:33:58.496+0000|196.29.42.107|Firefox|About Stephen Harper, Progressive ConservatAbout John Legend, e sang backing vocal|82
618475291058|2011-08-18T12:32:55.272+0000|196.29.42.107|Firefox|About Stephen Harper,  reached an agreement with PAbout Niccolò Machiavelli, litic|82
962072674740|2012-05-12T13:08:36.454+0000|196.29.42.107|Firefox|no|2
962072674741|2012-05-12T17:21:52.436+0000|31.170.121.115|Internet Explorer|great|5
962072674742|2012-05-12T03:43:44.379+0000|31.170.121.115|Internet Explorer|About Stephen Harper,  Joseph Harper, PC MP (born April 30, 1959)About Augusto Pinoc|84
962072674743|2012-05-12T08:37:31.365+0000|196.29.42.107|Firefox|About Stephen Harper, jority government, the firstAbout William Lyon Mackenzie Ki|81
962072674744|2012-05-12T09:26:04.883+0000|196.29.42.107|Firefox|cool|4
962072674745|2012-05-12T03:44:18.249+0000|31.25.7.11|Firefox|roflol|6
962072674746|2012-05-12T12:51:33.734+0000|31.170.121.115|Internet Explorer|cool|4
824633721276|2012-02-23T22:19:03.360+0000|196.29.42.107|Firefox|About Kurt Vonnegut, ire, gallows humor, and science fiction. As a citizen he|77
824633721277|2012-02-23T18:21:23.656+0000|41.74.150.41|Firefox|About Fyodor Dostoyevsky, his own, in which many of his fictionaAbout I Wa|74
824633721278|2012-02-24T17:13:01.421+0000|196.29.42.107|Firefox|no|2
824633721279|2012-02-23T18:58:51.909+0000|31.170.121.115|Internet Explorer|LOL|3
824633721280|2012-02-23T19:33:40.310+0000|31.170.121.115|Internet Explorer|ok|2
824633721281|2012-02-23T21:55:02.105+0000|41.74.150.41|Firefox|thanks|6
824633721282|2012-02-23T16:59:22.893+0000|41.74.150.41|Firefox|About Stephen Harper, y Southwest in Alberta sinAbout Michael Jordan, ball As|77
893353198020|2012-04-20T23:21:38.352+0000|41.74.150.41|Firefox|yes|3
893353198021|2012-04-21T10:24:46.971+0000|31.170.121.115|Internet Explorer|About Queen Victoria,  which the SoAbout Ernest Hemingway,  after the puAbout John Rhys-|88
893353198022|2012-04-21T15:13:33.029+0000|196.29.42.107|Firefox|About How to Save a Life, e Billboard 200About Chad, tment towards hAbout Tajikistan, |86
893353198023|2012-04-22T08:08:47.506+0000|196.29.42.107|Firefox|LOL|3
893353198024|2012-04-21T16:50:15.201+0000|196.29.42.107|Firefox|good|4
893353198025|2012-04-20T16:24:53.790+0000|196.29.42.107|Firefox|yes|3
893353198026|2012-04-21T16:47:16.594+0000|196.29.42.107|Firefox|maybe|5
893353198027|2012-04-21T11:33:43.831+0000|31.170.121.115|Internet Explorer|About Pope Benedict XVI,  among the cAbout Traveling Wilburys Vol. 1, t album b|79
893353198028|2012-04-21T20:16:33.322+0000|31.170.121.115|Internet Explorer|About Michel Foucault, ychiatry, social anthropologAbout William III of England, |81
893353198029|2012-04-21T23:09:55.023+0000|41.74.150.41|Firefox|About Michel Foucault, s associated with structuralism, a tAbout Francis of Assisi, nimals, the environment and one of tAbout William III of England, referred to as William an|175
893353198030|2012-04-21T16:55:09.853+0000|41.74.150.41|Firefox|ok|2
893353198031|2012-04-21T01:39:42.007+0000|196.29.42.107|Firefox|About Horatio Nelson, 1st Viscount Nelson, London, have been cAbout Beyoncé Knowles,  debu|90
893353198032|2012-04-22T18:17:27.112+0000|196.29.42.107|Firefox|roflol|6
893353198033|2012-04-21T05:09:47.272+0000|41.74.150.41|Firefox|About John Wayne,  and The Shootist (1About France, t of the leading autAbout|77
893353198034|2012-04-21T06:14:48.497+0000|31.170.121.115|Internet Explorer|cool|4
893353198036|2012-04-20T14:45:33.179+0000|31.170.121.115|Internet Explorer|About Kevin Rudd,  the Labor fronAbout Mohandas Karamchand Gandhi, ding the BritisAbout |88
893353198037|2012-04-20T12:36:58.375+0000|41.74.150.41|Firefox|LOL|3
893353198038|2012-04-20T15:36:46.849+0000|196.29.42.107|Firefox|About John Rhys-Davies, s of Cassim in Disney's AladAbout Aretha Franklin, began re|83
893353198039|2012-04-20T12:33:56.828+0000|31.170.121.115|Internet Explorer|good|4
893353198040|2012-04-20T18:50:46.038+0000|31.170.121.115|Internet Explorer|I see|5
893353198041|2012-04-20T15:41:50.578+0000|196.29.42.107|Firefox|About Kevin Rudd, tion government led by John Howard, in both pAbout Wayne Gretzky, and former head coach. He played 20 seasons iAbout J. P. Morgan, ncial prowess coupled with s|177
893353198042|2012-04-20T14:00:37.496+0000|196.29.42.107|Firefox|About Kevin Rudd,  standing was blamedAbout Charles Gounod, unod (17 June 181|77
