Person.id|Organisation.id|classYear
26388279066636|2435|2008
19791209300058|7893|2003
6597069766695|5985|2006
13194139533332|5036|2011
30786325577812|6617|2002
65|4991|2007
8796093022290|5147|2002
4398046511154|6433|2000
15393162788865|2945|2007
24189255811103|2832|2001
26388279066717|1605|2007
6597069766725|4762|2000
10995116277820|2836|2010
24189255811086|4593|2002
2199023255637|2205|2007
19791209299993|4673|2005
2199023255558|2209|2005
21990232555586|3009|1999
24189255811155|6010|2004
24189255811164|6149|2004
17592186044494|2983|2007
15393162788922|4998|2005
24189255811099|5804|2007
28587302322250|3016|2005
28587302322247|6150|2001
6597069766659|5986|2003
10995116277765|1953|2009
21990232555611|3008|2002
6597069766733|2827|2005
13194139533391|5866|2000
6597069766678|4742|2004
94|3015|2000
17592186044425|1785|2004
19791209299984|5809|2007
32985348833313|1596|2002
19791209300004|3008|2005
17592186044461|5236|2008
19791209300021|5268|2008
15393162788893|2214|2004
21990232555617|3007|2001
26388279066664|1856|2007
19791209300020|4742|2002
4398046511163|3007|2001
13194139533320|1580|2001
32985348833315|4929|2009
19791209299986|6172|2001
35184372088899|5526|2003
13194139533331|7953|2006
17592186044459|3014|2005
21990232555531|2211|2002
13194139533344|5047|2001
19791209299968|3011|2005
6597069766711|2439|2000
24189255811079|2208|2006
21990232555571|4940|2007
4398046511145|3010|2004
15393162788911|6346|2003
4398046511185|5042|2002
21990232555524|7936|2007
32985348833329|3008|2002
17592186044439|6797|2009
24189255811171|2206|2000
6597069766720|2387|2002
4398046511180|6199|2011
4398046511177|2206|2002
32985348833378|3015|2007
15393162788866|4519|2008
10995116277846|5046|2002
24189255811116|5987|2006
6597069766719|2830|2005
26388279066662|5040|2004
